,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.0033414218373840456,0.0012701828161169263,0.6144870399836162,0.10195438330376004,0.6963470805491704,0.14163356072666314,0.4458895095947283
flexaggro,0.0033414218373840456,1.0,0.14390325640271526,0.007351597825186914,0.04004598407236521,0.007520197153872045,4.3610781164254475e-05,0.011277128471856506
flexaggrod,0.0012701828161169263,0.14390325640271526,1.0,0.0030310693808911237,0.019000288166182964,0.003108253189090118,1.3307397857760173e-05,0.0048750211995838835
hyaggro,0.6144870399836162,0.007351597825186914,0.0030310693808911237,1.0,0.09250753309419107,0.9135006819309819,0.08870825952303749,0.6900982794475368
hybrid,0.10195438330376004,0.04004598407236521,0.019000288166182964,0.09250753309419107,1.0,0.03413345631280265,0.027017619282615743,0.17085274888693125
payout,0.6963470805491704,0.007520197153872045,0.003108253189090118,0.9135006819309819,0.03413345631280265,1.0,0.10554346085253206,0.5293057363838286
random,0.14163356072666314,4.3610781164254475e-05,1.3307397857760173e-05,0.08870825952303749,0.027017619282615743,0.10554346085253206,1.0,0.06911995059862268
wp,0.4458895095947283,0.011277128471856506,0.0048750211995838835,0.6900982794475368,0.17085274888693125,0.5293057363838286,0.06911995059862268,1.0
