,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,-1.749,-2.31,,,,2.459,
flexaggro,1.749,,,1.81,1.424,1.573,4.087,1.444
flexaggrod,2.31,,,1.6800000000000002,1.548,2.115,3.565,1.6589999999999998
hyaggro,,-1.81,-1.6800000000000002,,,,2.551,
hybrid,,-1.424,-1.548,,,,,
payout,,-1.573,-2.115,,,,2.637,
random,-2.459,-4.087,-3.565,-2.551,,-2.637,,-1.771
wp,,-1.444,-1.6589999999999998,,,,1.771,
