,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.011852290091114541,0.07956542845958023,0.4809496289030698,0.29963981723287686,0.288140590193189,0.45336187640307823,0.3616515517154797
flexaggro,0.011852290091114541,1.0,0.4954432211959102,0.053287000912308695,0.00038636124933258837,0.13154539415900413,0.0018330878820476842,0.0004791126052167306
flexaggrod,0.07956542845958023,0.4954432211959102,1.0,0.263899753712294,0.007591706921193393,0.43923854910719307,0.006944644996643669,0.007126580238946679
hyaggro,0.4809496289030698,0.053287000912308695,0.263899753712294,1.0,0.07447408726000322,0.7060097877614206,0.13732431950302082,0.09244281416530874
hybrid,0.29963981723287686,0.00038636124933258837,0.007591706921193393,0.07447408726000322,1.0,0.03185463734334981,0.7883005014020323,0.9134936442794548
payout,0.288140590193189,0.13154539415900413,0.43923854910719307,0.7060097877614206,0.03185463734334981,1.0,0.07167658889519248,0.04298435643671806
random,0.45336187640307823,0.0018330878820476842,0.006944644996643669,0.13732431950302082,0.7883005014020323,0.07167658889519248,1.0,0.8752830867269841
wp,0.3616515517154797,0.0004791126052167306,0.007126580238946679,0.09244281416530874,0.9134936442794548,0.04298435643671806,0.8752830867269841,1.0
