,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.10147875360217716,0.19375891531714717,0.8664510250992818,0.7686658141048828,0.6781966702013229,0.002985355296527906,0.5252271611379892
flexaggro,0.10147875360217716,1.0,0.17612321353078034,0.115409485846613,0.07084621185837943,0.05810279903302509,2.7604269787278653e-05,0.17645536457206037
flexaggrod,0.19375891531714717,0.17612321353078034,1.0,0.2141453378073286,0.1418833721692105,0.1222710674123042,7.760568750486991e-05,0.32311986075303556
hyaggro,0.8664510250992818,0.115409485846613,0.2141453378073286,1.0,0.5537266831373651,0.4812132116684096,0.0024083144854568517,0.5151820769921884
hybrid,0.7686658141048828,0.07084621185837943,0.1418833721692105,0.5537266831373651,1.0,0.8759583495315482,0.004233326932792678,0.22457060952330024
payout,0.6781966702013229,0.05810279903302509,0.1222710674123042,0.4812132116684096,0.8759583495315482,1.0,0.005067151390738965,0.20098617476548186
random,0.002985355296527906,2.7604269787278653e-05,7.760568750486991e-05,0.0024083144854568517,0.004233326932792678,0.005067151390738965,1.0,0.001068988553126172
wp,0.5252271611379892,0.17645536457206037,0.32311986075303556,0.5151820769921884,0.22457060952330024,0.20098617476548186,0.001068988553126172,1.0
