opponent,mean_points,ci_low,ci_high,pvalue_vs_zero
aggro,-7.48,-9.34,-5.489250000000001,3.710614597546956e-12
flexaggro,-9.13,-11.073583333333334,-6.97,3.0531119358949664e-16
flexaggrod,-8.663333333333334,-10.836833333333333,-6.384416666666668,8.762014024237108e-12
hyaggro,-7.696666666666666,-10.09025,-5.4031666666666665,1.6736077703207188e-09
hybrid,-5.16,-6.810666666666666,-3.2559166666666677,6.529063701338853e-08
payout,-6.776666666666666,-8.950166666666666,-4.475916666666667,3.43908980741064e-09
random,-0.28,-2.5004166666666667,2.2957499999999977,0.8232634669814979
wp,-4.323333333333333,-6.503666666666667,-2.0799166666666666,0.00011411121112613822
