opponent,mean_points,ci_low,ci_high,pvalue_vs_zero
aggro,-10.986666666666666,-12.484083333333333,-9.639916666666668,1.2617243553757057e-37
flexaggro,-12.306666666666667,-13.790166666666666,-10.74925,2.960170036006583e-44
flexaggrod,-11.52,-13.00075,-10.085916666666666,2.4456556077515833e-38
hyaggro,-11.546666666666667,-13.12425,-9.976666666666667,1.5160435384128105e-35
hybrid,-7.926666666666667,-9.210333333333335,-6.696666666666666,2.4449853026502874e-28
payout,-6.49,-7.843416666666667,-5.193333333333333,5.378605227589638e-19
random,-4.716666666666667,-5.773416666666667,-3.666583333333333,1.503261740546016e-16
wp,-8.956666666666667,-10.283416666666666,-7.612916666666667,5.232900746681279e-32
